               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.030244,           0.0078913,                   0,             0.89978,             0.92081,             0.95457,             0.57402,            0.030062,            0.005844,                   0,          0.00068906,          0.00068906,          0.00068906
                  82,            0.032111,           0.0084129,                   0,             0.93066,             0.92702,             0.96176,             0.57609,            0.027445,           0.0055115,                   0,          0.00068232,          0.00068232,          0.00068232
                  83,            0.029406,           0.0079765,                   0,             0.93676,              0.9073,             0.95499,              0.5625,            0.027583,           0.0055031,                   0,          0.00067555,          0.00067555,          0.00067555
                  84,            0.031108,           0.0077557,                   0,             0.92174,              0.9073,             0.95033,             0.54701,            0.029989,           0.0058458,                   0,          0.00066874,          0.00066874,          0.00066874
                  85,            0.030544,           0.0079263,                   0,             0.90904,             0.94675,             0.95811,             0.58808,            0.028061,           0.0054661,                   0,          0.00066191,          0.00066191,          0.00066191
                  86,            0.031573,           0.0079287,                   0,             0.92007,             0.93093,             0.95046,             0.57038,            0.029079,           0.0055551,                   0,          0.00065505,          0.00065505,          0.00065505
                  87,            0.031985,           0.0082134,                   0,             0.92047,             0.91315,             0.95229,             0.56882,             0.02974,           0.0056192,                   0,          0.00064816,          0.00064816,          0.00064816
                  88,            0.030968,            0.007967,                   0,             0.91765,             0.92306,             0.95128,             0.56744,            0.027179,           0.0054849,                   0,          0.00064125,          0.00064125,          0.00064125
                  89,            0.030119,           0.0077232,                   0,             0.92003,             0.91124,             0.95705,             0.56916,            0.028576,           0.0055477,                   0,          0.00063432,          0.00063432,          0.00063432
                  90,            0.030128,           0.0076629,                   0,             0.92532,             0.93097,             0.95927,              0.5954,            0.027391,           0.0055719,                   0,          0.00062737,          0.00062737,          0.00062737
                  91,            0.028909,           0.0076017,                   0,             0.91969,              0.9487,              0.9619,             0.57992,            0.028751,           0.0055343,                   0,           0.0006204,           0.0006204,           0.0006204
                  92,            0.030325,           0.0076154,                   0,             0.88267,              0.9348,             0.94256,             0.56167,            0.028854,           0.0055656,                   0,          0.00061341,          0.00061341,          0.00061341
                  93,            0.029646,           0.0080297,                   0,             0.91745,             0.94264,             0.96457,             0.58718,            0.027556,           0.0053965,                   0,           0.0006064,           0.0006064,           0.0006064
                  94,            0.027916,           0.0076095,                   0,             0.91187,              0.9388,             0.95971,             0.58829,            0.027728,           0.0053974,                   0,          0.00059938,          0.00059938,          0.00059938
                  95,            0.029437,           0.0077759,                   0,             0.93247,             0.92702,             0.95248,             0.56847,            0.028048,           0.0055027,                   0,          0.00059235,          0.00059235,          0.00059235
                  96,            0.028475,           0.0076786,                   0,             0.91547,             0.94083,             0.96399,             0.59006,            0.027052,             0.00536,                   0,          0.00058531,          0.00058531,          0.00058531
                  97,             0.02889,           0.0073393,                   0,              0.9214,             0.92505,             0.95559,             0.58153,            0.029626,           0.0055313,                   0,          0.00057826,          0.00057826,          0.00057826
                  98,            0.029158,           0.0079688,                   0,             0.92063,             0.91512,             0.94872,             0.58064,            0.027857,           0.0054746,                   0,           0.0005712,           0.0005712,           0.0005712
                  99,            0.029595,           0.0076228,                   0,             0.91646,             0.91124,             0.94704,             0.55983,            0.028999,           0.0056174,                   0,          0.00056413,          0.00056413,          0.00056413
                 100,            0.029041,           0.0078105,                   0,             0.93748,             0.92308,             0.96065,             0.59253,            0.026124,           0.0052434,                   0,          0.00055707,          0.00055707,          0.00055707
                 101,            0.028576,           0.0077477,                   0,             0.91874,             0.91519,             0.95484,              0.6041,            0.026583,           0.0054203,                   0,             0.00055,             0.00055,             0.00055
                 102,            0.029043,           0.0077936,                   0,             0.93333,             0.93885,             0.96749,             0.59961,            0.026317,           0.0053262,                   0,          0.00054293,          0.00054293,          0.00054293
                 103,            0.027691,           0.0076405,                   0,             0.93074,             0.90125,              0.9464,             0.57694,            0.027031,           0.0053719,                   0,          0.00053587,          0.00053587,          0.00053587
                 104,            0.028417,           0.0072998,                   0,             0.93395,              0.9211,             0.96011,             0.59664,            0.026794,           0.0053114,                   0,           0.0005288,           0.0005288,           0.0005288
                 105,             0.02831,           0.0073475,                   0,             0.92505,             0.92501,             0.95751,             0.57924,            0.028925,           0.0054673,                   0,          0.00052174,          0.00052174,          0.00052174
                 106,            0.030256,           0.0075565,                   0,             0.94772,             0.89941,             0.95608,             0.58052,            0.027956,           0.0054148,                   0,          0.00051469,          0.00051469,          0.00051469
                 107,            0.028868,           0.0073694,                   0,             0.93713,             0.94079,             0.96735,             0.60739,             0.02635,           0.0053011,                   0,          0.00050765,          0.00050765,          0.00050765
                 108,            0.028108,           0.0072566,                   0,             0.91761,             0.94459,             0.96641,             0.59604,            0.025872,           0.0052283,                   0,          0.00050062,          0.00050062,          0.00050062
